nama,domain,complexity,loc,detector,count
AaveGovernanceV2,Governance,Complex,1234,public_vs_external,4
AaveGovernanceV2,Governance,Complex,1234,dead_code,3
MiniMeToken,Governance,Complex,516,redundant_sload,11
MiniMeToken,Governance,Complex,516,string_vs_bytes32,9
MiniMeToken,Governance,Complex,516,public_vs_external,12
Multicall,Utility,Simple,43,public_vs_external,8
Multicall2,Utility,Simple,70,public_vs_external,10
DSProxyFactory,Utility,Medium,183,redundant_sload,6
DSProxyFactory,Utility,Medium,183,public_vs_external,5
ENSRegistryWithFallback,Utility,Medium,236,redundant_sload,1
ENSRegistryWithFallback,Utility,Medium,236,public_vs_external,8
ERC1820Registry,Utility,Medium,194,redundant_sload,1
ERC1820Registry,Utility,Medium,194,string_vs_bytes32,1
MultiSigWallet,Utility,Medium,334,redundant_sload,11
MultiSigWallet,Utility,Medium,334,unoptimized_loop,5
MultiSigWallet,Utility,Medium,334,public_vs_external,10
WyvernProxyRegistry,Utility,Medium,383,redundant_sload,9
WyvernProxyRegistry,Utility,Medium,383,string_vs_bytes32,1
WyvernProxyRegistry,Utility,Medium,383,public_vs_external,21
GnosisSafe,Utility,Complex,1008,public_vs_external,2
