domain,address,contract_name,status,reason,compiler_version,optimization_used,license,proxy,implementation,loc,complexity,source_file,etherscan_url
Governance,0x408ED6354d4973f66138C91495F2f2FCbd8724C3,GovernorBravoDelegator,saved,ok,v0.5.16+commit.9c3226ce,1,,1,0x53a328f4086d7c0f1fa19e594c9b842125263026,147,Medium,dataset/governance/031_GovernorBravoDelegator_0x408ED635.sol,https://etherscan.io/address/0x408ED6354d4973f66138C91495F2f2FCbd8724C3#code
Governance,0x53a328f4086d7c0f1fa19e594c9b842125263026,GovernorBravoDelegate,saved,ok,v0.5.16+commit.9c3226ce,1,,0,,394,Medium,dataset/governance/032_GovernorBravoDelegate_0x53a328f4.sol,https://etherscan.io/address/0x53a328f4086d7c0f1fa19e594c9b842125263026#code
Governance,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uni,saved,ok,v0.5.16+commit.9c3226ce,1,None,0,,454,Medium,dataset/governance/033_Uni_0x1f9840a8.sol,https://etherscan.io/address/0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984#code
Governance,0xc00e94Cb662C3520282E6f5717214004A7f26888,Comp,saved,ok,v0.5.16+commit.9c3226ce,1,,0,,230,Medium,dataset/governance/034_Comp_0xc00e94Cb.sol,https://etherscan.io/address/0xc00e94Cb662C3520282E6f5717214004A7f26888#code
Governance,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,Token,saved,ok,v0.5.0+commit.1d4f565a,1,None,0,,516,Complex,dataset/governance/035_Token_0x0f51bb10.sol,https://etherscan.io/address/0x0f51bb10119727a7e5ea3538074fb341f56b09ad#code
Governance,0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2,DSToken,saved,ok,v0.4.18+commit.9cf6e910,1,,0,,253,Medium,dataset/governance/036_DSToken_0x9f8F72aA.sol,https://etherscan.io/address/0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2#code
Governance,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,YFI,saved,ok,v0.5.17+commit.d19bba13,0,MIT,0,,186,Medium,dataset/governance/037_YFI_0x0bc529c0.sol,https://etherscan.io/address/0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e#code
Governance,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,MiniMeToken,saved,ok,v0.4.24+commit.e67f0147,1,,0,,289,Medium,dataset/governance/038_MiniMeToken_0x5A98FcBE.sol,https://etherscan.io/address/0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32#code
Governance,0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B,Tribe,saved,ok,v0.6.6+commit.6c089d02,1,GNU AGPLv3,0,,287,Medium,dataset/governance/039_Tribe_0xc7283b66.sol,https://etherscan.io/address/0xc7283b66Eb1EB5FB86327f08e1B5816b0720212B#code
Governance,0xd291e7a03283640fdc51b121ac401383a46cc623,AdminUpgradeabilityProxy,saved,ok,v0.6.8+commit.0bbfe453,0,MIT,1,0xb528e8bb2dcb99cfdea4c28bf44925ef58ab1520,267,Medium,dataset/governance/040_AdminUpgradeabilityProxy_0xd291e7a0.sol,https://etherscan.io/address/0xd291e7a03283640fdc51b121ac401383a46cc623#code
Utility,0xd9Db270c1B5E3Bd161E8c8503c55cEABeE709552,GnosisSafe,saved,ok,v0.7.6+commit.7338295f,0,GNU LGPLv3,0,,697,Complex,dataset/utility/041_GnosisSafe_0xd9Db270c.sol,https://etherscan.io/address/0xd9Db270c1B5E3Bd161E8c8503c55cEABeE709552#code
Utility,0x00000000000C2E074eC69A0dFb2997BA6C7d2e1e,ENSRegistryWithFallback,saved,ok,v0.5.16+commit.9c3226ce,0,None,0,,227,Medium,dataset/utility/042_ENSRegistryWithFallback_0x00000000.sol,https://etherscan.io/address/0x00000000000C2E074eC69A0dFb2997BA6C7d2e1e#code
Utility,0x1820a4B7618BdE71Dce8cdc73aAB6C95905faD24,ERC1820Registry,saved,ok,v0.5.3+commit.10d17f24,1,,0,,130,Medium,dataset/utility/043_ERC1820Registry_0x1820a4B7.sol,https://etherscan.io/address/0x1820a4B7618BdE71Dce8cdc73aAB6C95905faD24#code
Utility,0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696,Multicall2,saved,ok,v0.8.2+commit.661d1103,1,None,0,,66,Simple,dataset/utility/044_Multicall2_0x5BA1e126.sol,https://etherscan.io/address/0x5BA1e12693Dc8F9c48aAD8770482f4739bEeD696#code
Utility,0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b,WyvernExchange,saved,ok,v0.4.23+commit.124ca40d,1,,0,,1594,Complex,dataset/utility/045_WyvernExchange_0x7Be8076f.sol,https://etherscan.io/address/0x7Be8076f4EA4A4AD08075C2508e481d6C946D12b#code
Utility,0xa6B71E26C5e0845f74c812102Ca7114b6a896AB2,GnosisSafeProxyFactory,saved,ok,v0.7.6+commit.7338295f,0,GNU LGPLv3,0,,103,Medium,dataset/utility/046_GnosisSafeProxyFactory_0xa6B71E26.sol,https://etherscan.io/address/0xa6B71E26C5e0845f74c812102Ca7114b6a896AB2#code
Utility,0xa26e15c895efc0616177b7c1e7270a4c7d51c997,DSProxyFactory,saved,ok,v0.4.23+commit.124ca40d,1,,0,,145,Medium,dataset/utility/047_DSProxyFactory_0xa26e15c8.sol,https://etherscan.io/address/0xa26e15c895efc0616177b7c1e7270a4c7d51c997#code
Utility,0xa58E81fe9b61B5c3fE2AFD33CF304c454AbFc7Cb,ReverseRegistrar,saved,ok,v0.8.17+commit.8df45f5f,1,MIT,0,,337,Medium,dataset/utility/048_ReverseRegistrar_0xa58E81fe.sol,https://etherscan.io/address/0xa58E81fe9b61B5c3fE2AFD33CF304c454AbFc7Cb#code
Utility,0x226159d592E2b063810a10Ebf6dcbADA94Ed68b8,PublicResolver,saved,ok,v0.5.11+commit.c082d0b4,0,None,0,,325,Medium,dataset/utility/049_PublicResolver_0x226159d5.sol,https://etherscan.io/address/0x226159d592E2b063810a10Ebf6dcbADA94Ed68b8#code
Utility,0xa5409ec958C83C3f309868babACA7c86DCB077c1,WyvernProxyRegistry,saved,ok,v0.4.23+commit.124ca40d,1,,0,,381,Medium,dataset/utility/050_WyvernProxyRegistry_0xa5409ec9.sol,https://etherscan.io/address/0xa5409ec958C83C3f309868babACA7c86DCB077c1#code
